GeneSymbol	Endothelial	CAFs	PVL	B_cells	T_cells	Myeloid	Normal_Epithelial	Cancer_Epithelial
ALDH1A1	1	303.590428349709	1	1	1	1	1	1
ALDH7A1	1	1	1	1	1	1	227.110173424622	276.847035934419
ALG3	1	1	1	73.3433572492038	1	1	1	430.093561980378
ALKBH2	1	1	1	1	1	1	140.428566726104	1
ALOX5	1	1	1	1	1	236.882977690826	1	1
ALOX5AP	1	1	1	1	1742.7841695389	1568.78519797299	1	1
ALPL	225.290825288722	1	1	1	1	1	1	1
ANAPC15	1	1	1	1	1	105.276460995161	1	219.472076915428
ANGPT1	1	1	200.751479803689	1	1	1	1	1
ANGPT2	390.660656225234	1	643.795348763452	1	1	1	1	1
ANGPTL2	1	338.444647842318	1	1	1	1	1	1
ANGPTL4	1	417.965870421434	888.36331515562	1	1	1	461.274854646512	1
ANKH	1	166.899963956774	1	1	1	1	150.241065459524	1
ANKRD22	1	1	1	1	1	125.643730995007	1	1
ANKRD29	231.80243991503	1	162.896248737677	1	1	1	1	1
ANKRD30A	1	1	1	1	1	1	716.237122409383	940.935708741013
ANKRD35	1	110.150636990974	1	1	1	1	1	1
ANKRD44	1	1	1	208.590076496995	398.510659948027	125.943068920163	1	1
ANO1	1	1	182.063865566505	1	1	1	190.952547174202	1
ANP32E	1	1	1	1	331.833712467858	1	1	382.869334484092
ANPEP	1	140.337419136343	1	1	1	168.961603959648	1	1
ANTXR1	1	451.816469266623	170.337750355916	1	1	1	1	1
ANTXR2	1	189.65698490941	1	1	1	1	1	1
ANXA3	1	1	1	1	1	1	376.946697099297	1
AOAH	1	1	1	1	1	182.054890153229	1	1
AOC3	1	1	250.966308203528	1	1	1	1	1
AP1B1	1	1	1	1	1	207.908414242665	1	1
AP1M1	1	1	1	1	1	98.0299844379193	1	1
AP1M2	1	1	1	1	1	1	178.732712038199	240.178670074587
AP2A2	1	1	1	1	1	129.317905923264	1	1
AP2B1	163.480102413072	1	1	1	1	1	1	1
AP3B1	1	1	1	1	1	106.94653216248	1	1
AP3M2	1	1	1	1	300.093228383199	1	1	1
APBB1IP	1	1	1	1	505.717554698762	283.962040425071	1	1
APBB2	152.20402107904	1	1	1	1	1	1	1
APLNR	403.846938697478	1	1	1	1	1	1	1
APOBEC3A	1	1	1	1	1	428.171101848911	1	1
APOBEC3C	1	1	1	1	347.458929487733	1	1	1
APOBEC3G	1	1	1	105.207919105087	818.018301645719	1	1	1
APOC1	1	257.116557171514	1	1	1	3310.84432087477	400.967479716814	1
APOD	379.102317285789	28644.0670843356	1	1	1	1	1303.14496093436	1
APOE	1	2184.58989997519	2973.85125561002	1	1	6634.42355021491	1918.55231444051	646.256469579069
APOL1	160.844263763942	152.868834350916	1	1	1	1	1	1
APOL3	197.017235085133	1	1	1	1	1	1	1
APOL6	1	1	1	1	241.944699196056	144.879782568228	1	1
APOLD1	616.020757171	1	306.698724536969	1	1	1	1	1
APOPT1	1	1	1	1	1	1	1	232.153071196427
AQP1	2532.12253344178	1	1	1	1	1	1	1
AQP3	1	1	1	1	413.535593891745	1	205.116629441424	586.088665982439
ARAP1	1	1	1	1	1	94.746371705344	1	1
ARAP2	1	1	1	1	364.472796071887	1	1	1
ARC	1	1	1	1	1	1	505.767833329963	1
AREG	1	1	1	509.315055052561	1537.98178162463	2401.78061398658	1620.67214251252	1
ARFIP1	1	1	1	1	1	1	122.866843954654	1
ARFIP2	1	1	1	1	1	1	258.650279646882	220.083339354236
ARFRP1	183.040323558596	147.731083910236	1	1	1	1	1	1
ARG2	1	1	1	1	1	1	218.606086979016	1
ARHGAP1	1	180.124348468369	264.889119638276	1	1	1	1	1
ARHGAP10	1	1	218.762294500135	1	1	1	1	1
ARHGAP15	1	1	302.800665363954	176.098232420378	795.977062399405	117.872208264864	1	1
ARHGAP17	1	1	213.58448673673	1	1	1	1	1
ARHGAP18	1	1	1	1	1	415.479484636022	1	1
ARHGAP21	1	132.663155304889	1	1	1	1	1	1
ARHGAP24	1	140.415160960036	1	268.447558710812	1	1	1	1
ARHGAP29	1003.26645941191	1	588.900934910258	1	1	1	209.023298876588	219.566930396361
ARHGAP30	1	1	1	1	253.812990525288	145.298441733887	1	1
ARHGAP31	180.340120821958	1	1	1	1	1	1	1
ARHGAP9	1	1	1	1	566.952695639198	111.425434818246	1	1
ARHGEF1	158.167055351467	1	1	1	565.965064228367	105.274898619917	1	1
ARHGEF12	229.277458196521	1	1	1	1	1	1	1
ARHGEF15	214.728770776439	1	1	1	1	1	1	1
ARHGEF17	1	1	235.227165329974	1	1	1	1	1
ARHGEF2	1	1	1	1	1	96.585257777229	1	1
ARHGEF25	1	1	159.224350462999	1	1	1	1	1
ARHGEF3	144.872268602467	1	1	1	238.920434908565	1	1	1
ARHGEF7	1	1	211.91317420087	1	1	1	1	1
ARID1A	1	1	1	1	1	118.460079077578	1	1
ARIH1	175.504159025381	1	1	1	1	161.322119847138	1	1
ARL15	341.828664290546	1	1	1	1	1	1	1
ARL2	489.213638814549	207.085691178387	310.416203715128	1	1	1	1	1
ARL4C	1	1	1	1	687.028763935544	368.374260987906	1	1
ARL4D	1	1	1	1	1	1	243.11819934706	1
ARL5B	160.812504169842	1	1	1	1	207.547409741158	1	1
ARL6IP6	1	1	1	1	267.508867126593	1	140.914939036277	1
ARMC10	1	1	1	1	1	117.805884319732	155.084192717504	427.540216135052
ARMT1	1	1	1	1	1	1	1	325.64735833559
ARRB2	1	1	1	1	313.12671708041	572.062308694023	1	1
ARSA	1	1	1	113.547449039074	1	92.0226482035799	1	1
ASGR1	1	1	1	1	1	124.043121638725	1	1
ASL	156.951000391321	1	1	1	1	1	1	1
ASPN	1	1209.6870853567	466.323957896444	1	1	1	1	1
ASRGL1	147.35349364574	1	1	1	1	1	1	1
ASS1	369.203325452765	1	1	1	1	1	204.561512458037	418.055955028647
ATAD1	1	1	160.594079400602	1	1	1	143.768930882709	1
