"Endothelial","CAFs","PVL","B_cells","T_cells","Myeloid","Normal_Epithelial","Cancer_Epithelial"
"RP11-34P13.7",1.17664864433631,0.110086414532816,0,0.358745706841132,0.224824189259355,0.184554148446854,0.210680045692288,0.160531036669302
"FO538757.3",0,0.17010028262162,0,0.120222466958861,0.0492414294934997,0.0775257020960159,1.25920993486252,0.0502691131839747
"FO538757.2",41.983970162816,34.1207971675647,36.2453429221426,13.3546386958401,33.3342949657286,33.45178665611,32.6722328553108,26.7972961694813
"AP006222.2",25.3717398472398,19.0496060263671,32.8904110408548,5.89380882427554,6.32008580496057,10.8551420871999,11.7147341835184,12.2706790455289
"RP4-669L17.10",0.11288958619532,1.54345073094517,0.578274498125663,1.48376219826935,0.340190302190579,1.08318772914285,0,0.467782320999465
"RP5-857K21.4",1.32896726544359,0.508077792119197,1.41119526792475,0.164755486472589,0.27129402067791,0.768781389785273,0.694223252850208,0.802851190433599
"RP11-206L10.9",7.00483619247513,5.02643275381729,12.9039536540208,7.38178406225464,7.05057076049914,6.31411240848412,8.37415257447329,7.64180872670546
"LINC00115",4.98245985125408,2.3972186782133,3.84288452391421,1.49326904811617,5.62424308307665,5.04199341483098,1.96117565962399,4.98249977757537
"FAM41C",2.56563922304003,1.64993829919526,5.33871915370888,1.81538437342173,2.14984839783653,5.76365078213588,1.1966246936906,5.72098369998065
"RP11-54O7.3",0,0.512286770368693,0,0,0.117793881643325,0,0.241192610630227,0.0791782939991404
"SAMD11",2.63767289002925,12.7422880604,0.333030830329118,0.829458838610308,0.199283873578903,0.230169893760313,5.94167430299909,2.17422610453295
"NOC2L",43.5896780075454,39.7039266510385,46.8160764835955,47.2427653760602,45.5774434348747,28.6031151842739,64.6300466863393,107.159026565628
"KLHL17",2.5902534982656,1.400336024499,2.84305591609556,0.722677947743563,2.55601019381332,1.89683305592619,0.524779990991801,1.4262601626439
"PLEKHN1",1.33085423231241,1.68776426288546,0.124052764106474,3.20523989497794,5.62659561781371,0.776381539011103,7.44835897518528,8.13570988578125
"PERM1",0.190171915411532,0,1.78104794591602,0,0.143113787548037,0.106633896037269,3.68281750251436,1.97109015792708
"RP11-54O7.17",5.50788015499138,3.7479537459839,10.9367700616172,0.160682156988484,0.366516349222644,10.9373397605194,1.8643551791159,0.875643356705772
"HES4",88.7930383973465,96.9398758238848,375.024182660884,5.39615509654002,13.0867592970985,75.3937032161043,105.363176566058,93.929326864716
"ISG15",670.074065314523,594.089311617059,760.625008720653,364.955584633406,655.121941439124,1212.41373835903,163.201010052428,253.177037977209
"AGRN",70.5298683916791,28.4020353325854,55.717917618915,1.13977897510701,2.26642512272299,10.8084030525066,35.978883826978,21.81500486818
"RP11-54O7.18",0,0,0,0,0.204314154365981,0.193975475730404,0,0
"RNF223",0.648313347993859,0.488743919724073,0.251942070477948,0.279050216252515,0.121811557224828,0.232059715522309,38.7791424962419,11.3767420375645
"C1orf159",15.6843824396424,6.57628299547852,5.97184737081089,1.57379554304633,6.54846704721364,4.76480936630107,13.0732002247211,12.5105161277189
"RP11-465B22.8",0,0.658307624663491,0,0.240321646491664,0.114325924847253,0.250183134054128,0.203259303584844,1.20651694348404
"TTLL10",6.56537903539863,0.512517603520593,0,0,2.08222561419688,0.172475057046157,0.42186153998024,0.441330805057172
"TNFRSF18",8.37584365051483,1.07139764215957,0.91582908245877,10.8172649611198,234.354094836152,3.4134562199286,10.8014586842685,13.6139124765184
"TNFRSF4",234.764533079228,33.7262446969562,3.29460689837879,7.73234103962721,250.935992011367,17.0915204637369,1.41768612799741,3.5735432402547
"SDF4",202.00022508773,206.824030618227,136.272496133101,102.743707356393,140.3301483137,117.706653453803,148.528510434362,129.208165108467
"B3GALT6",10.6708916558025,7.09556093067336,2.15012524501396,1.99691217821749,4.24467974837834,7.01987341662566,3.9747756646734,3.56835732123352
"FAM132A",18.0192978804915,1.86945995198208,0.619356117380371,0.133632238678918,0.55060053328019,0.494919054352169,9.83075560205143,1.07664455691927
"RP5-902P8.12",0,0.102892429668909,0.747829253506066,0.268833659197586,0.374606216468751,0.0338530567448322,0,0.108782942308946
"UBE2J2",63.4307117632362,42.1134200611038,62.681690385668,32.6496449432317,52.1025180863333,37.7015424188283,61.5997397249292,83.1088011192193
"SCNN1D",1.09626407356121,0.888123707561118,0.475947749155363,0.251439661111396,0.841565391363108,1.39846285235826,1.87503690587636,1.6852746369408
"ACAP3",20.3166760722225,19.9000165555406,20.2522955965835,9.29114398452792,8.61409642215988,9.95530574019315,13.5745963779167,12.8413939564342
"PUSL1",6.77096433482553,12.5049276520624,14.4197468262474,11.3082948694331,16.450690132359,12.830043190659,13.7735947390856,44.8968451800414
"CPSF3L",67.1992704722775,58.2159536098135,63.5762530977268,30.8155414475265,58.4635114495,32.9702071989821,83.210244289305,78.129100465054
"CPTP",33.3104481061527,12.8267320599096,17.6206557914678,16.8569751512922,14.1718447930964,10.0034247534543,24.1673170849275,49.4258788068759
"TAS1R3",0,0,0,4.14017156679377,0.239339127632771,0.0864749091321655,0,1.82950524640351
"DVL1",11.816814813518,13.1985985093217,7.25423065314265,3.34542769868319,3.10600148568576,4.2310297838654,7.8503801073259,12.541939270207
"MXRA8",9.9275039266459,918.415693805076,202.496774232327,2.43771234061799,1.89549779891264,1.39790545696888,158.554364578658,9.85686918976423
"AURKAIP1",222.425849155858,163.127410870152,211.44195999218,140.447365812898,172.829844234802,190.97866551651,225.927229635487,446.101504584763
