GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
ADK	166.144797862292	1	291.23923501729	1	160.641953856802	79.0159359739693	1	127.194143420559
ADM	1	189.873174970164	1	146.514753693947	1	341.751394235018	1	1
ADM5	1	178.735988419972	1	1	1	1	1	1
ADRB2	1	119.016018540836	1	1	1	1	931.975989870087	1
AEBP1	1	77.2752409659822	1	2076.29157459408	1	1	1	372.579148416168
AF213884.3	1	1	1	1	1	81.3500711898614	1	1
AFAP1L1	1	222.793125316212	1	1	1	1	1	1
AFDN	1	211.277399706466	1	1	87.3758624778994	1	1	1
AFF3	1	1	294.857480965669	1	138.666629285489	1	1	244.575596445392
AFTPH	1	71.5095321763084	222.063575994547	1	102.674391770256	92.496651235982	1	176.898494152936
AGBL5	1	1	1	1	86.8758189171864	1	1	1
AGFG1	1	1	1	1	1	162.891600968717	1	1
AGO3	1	85.7927614940521	1	112.733823601788	77.9328525704009	1	261.198707554714	69.6299064981663
AGPAT5	1	72.6090084018958	1	1	1	1	1	206.588819783142
AGR2	1	1	1	1	635.231515736198	1	1	1
AGR3	1	1	1	1	225.563286002606	1	1	1
AGTPBP1	1	1	1	1	1	1	189.783694514046	1
AGTRAP	222.450078545417	133.4004111908	1	164.998847246412	227.672916870334	224.194657419528	720.374602823458	1
AHI1	1	1	1	126.788941642157	56.2259702160852	1	1	289.203716921266
AHR	1	241.776098104353	1	103.253094042454	85.9522224813841	265.678269748356	779.276661135646	1
AIF1	1	1	1	1	1	3139.52995808704	1	261.07059226102
AIF1L	1	222.475185198808	1	1	86.2616156062176	1	1	1
AIM2	1	1	548.165685788303	1	1	1	1	1
AKAP10	1	1	1	1	1	1	1	93.6750354486414
AKAP12	1	239.209487399357	1	307.646050383129	1	1	1	1
AKAP2	1	90.4104321090336	228.037515018392	1	1	1	309.050876501926	1
AKIP1	1	85.7067251045941	1	88.545898928892	121.574448308388	90.8470862898029	229.844236805436	1
AKNA	568.880805628262	1	291.234448343996	1	1	98.3976081058984	1	365.619739792553
AKTIP	155.541235638056	69.985282920688	1	1	75.3320546344479	1	1	1
AL078590.3	1	1	1	1	1	1	277.622276360708	1
AL121944.1	1	1	1	1	1	1	1	81.6197116541913
AL133415.1	1	140.153188829063	1	133.040429590801	1	221.954150470905	1	1
AL135925.1	1	1	1	1	1	1	298.65590449287	313.438970792101
AL157895.1	1	1	1	1	1	1	1214.44965354309	1
AL355075.4	1	1	1	1	1	1	1	102.58629669515
AL355353.1	1	1	1	1	1	1	1	82.5978895646504
AL357060.1	1	1	1	1	1	1	1	175.86786333034
AL445524.1	1	1	1	1	87.5258173814347	1	1	1
AL451165.2	1	1	1	1	136.525333899096	1	1	1
AL583785.1	1	165.240881491475	1	1	1	1	1	1
AL627171.1	1	1	1	1	1	1	1	184.485582588612
AL662860.1	1	1	1	1	1	1	1423.0064863241	1
ALAS1	1	1	1	1	1	65.0505633757789	1	1
ALDH1A1	1	1	1	154.497963085809	1	1	332.948109119133	1
ALDH1A3	1	1	1	119.053182225438	1	1	1	1
ALDH3B1	1	1	1	1	1	79.3016953417072	1	1
ALDH3B2	1	1	1	1	138.638256867155	1	1	1
ALKBH3	1	1	1	1	1	1	1	93.727299575335
ALOX5	1	1	256.765796872688	1	1	252.955620210858	2203.73782123097	1
ALOX5AP	1346.42323784569	1	412.506634919075	1	1	545.746764812777	4777.24238525505	3141.89385485728
ALPL	1	186.815712520578	1	350.865490560455	1	1	1	1
ALS2	1	1	1	1	1	1	365.737619613889	1
AMFR	1	1	1	1	95.1514357669184	1	1	1
AMPD2	1	1	1	1	1	68.3591870920545	1	1
AMPD3	1	1	1	1	1	84.8254603787486	1	1
ANGPT2	1	284.013824229824	1	110.138266351459	1	1	1	1
ANGPTL1	1	1	1	103.670781476213	1	1	1	1
ANGPTL2	1	258.787321966747	1	341.439192901902	1	1	1	1
