"T_cell","Endothelial_cell","B_cell","Fibroblast","Cancer_cell","Myeloid_cell","Mast_cell","pDC"
"A1BG",54.9065379191887,31.6102515014699,39.6745476739695,67.7934828564678,98.5145093340049,41.3713446543337,126.844771918223,148.304132444219
"A1BG-AS1",8.3694353959743,3.98103509070921,6.87271142833117,9.22640000039403,6.26178262018032,5.0334179017112,0,4.81955450936619
"A2M",8.71217241852437,2217.50510913111,5.70965436128855,637.583737875743,101.070362740893,154.425177173037,7.23154632200435,8.41717209067986
"A2M-AS1",4.01182881165325,1.58631818128749,0.399742099730602,3.13866347648227,1.68497808569791,1.41309218520516,36.1651364047531,0.920171446343883
"A4GALT",1.05013568441348,88.5858183167053,2.66159059353877,57.4396661677426,34.4183874849165,1.42163879931467,0.984264562440267,3.75255217616672
"AAAS",20.3112854554889,22.1526899171554,19.6956695822494,24.1079022906039,25.4941166248175,13.9900550836788,15.3782910914376,26.8030332785084
"AACS",6.33512429516067,5.65383584204389,5.80472398296521,10.1775955370576,22.2135858981362,3.69036286503657,7.97551814578277,12.0257930715305
"AADAC",0,0.0712742880500459,0,8.87297223220251,0.0245491313517956,0.0969316270445846,0,0
"AADACL2-AS1",0.0524674276962119,0.404728804624933,0.225402958503992,57.3033241815645,0.0764585561355372,0.120563398115928,0,0
"AADAT",0.153625719794063,0.0587175329508362,0.063927447972167,4.30744036199428,2.00377785891583,0.0465187396445058,0,0
"AAED1",12.1280645667668,28.3167251646645,12.0563098211789,23.5646748992944,8.89338784150566,26.2339144557835,16.5904168637288,6.96541972589111
"AAGAB",33.115460817741,20.2337411297448,15.1341940740199,21.260740215074,24.9109196443466,17.2597422880179,5.29508574920588,23.9160900282229
"AAK1",142.02154320761,47.8083439370399,13.2657072378434,40.2696529092484,34.1024188341256,54.413639477354,42.0712672528507,13.33446980969
"AAMDC",13.5962409461376,65.1378119066918,9.41616400401733,57.6970952130264,67.4713389616959,16.9268982642818,28.4083970192893,10.5196009990844
"AAMP",56.0350858764723,63.585366697271,42.1981498068006,64.4940534956756,77.3240629801484,46.8191809669622,22.8071860763047,56.5221936987573
"AAR2",20.958156108019,24.4187327367999,11.7850067200957,20.157638552241,16.1239009405391,12.9547457737131,18.4117871627247,17.1941378154678
"AARD",2.19720629164173,0.246037786666769,0.41072895176318,0.625296216094638,144.832219060169,1.30074010123026,20.9422082789858,0.859919907059856
"AARS",18.8247393669842,35.3450136363115,23.3379590003629,35.3162227353669,66.2879404600506,20.5889572448049,14.3957549224588,11.1200175234273
"AARS2",6.69567204970764,6.19997347426359,8.4350445115923,7.00926620721761,7.85963595481788,5.05482111188225,6.36894537503018,7.88754575817965
"AARSD1",6.19357655557247,4.58964846555563,9.41254286152516,6.72443593807342,9.15520269618726,3.66084783752954,0,11.1540137197403
"AASDH",13.5580050971614,16.9661745062595,11.8417968463178,15.0049812522872,16.5458755455343,6.82740022287309,7.03804635992916,12.1829176570182
"AASDHPPT",52.8524805134076,38.2214133597895,35.9706979128545,38.7845174271821,45.106945268736,29.4952731229564,43.8801143498529,47.9405964871068
"AASS",1.44635842193816,9.91815183792234,1.76307892233846,14.1345036336863,2.10585548956733,0.104464759815841,4.96290230526812,0
"AATF",63.711310760754,30.9323698640142,38.518184038067,30.1242885257381,39.6682475945958,43.5608685759288,19.849427002109,52.8450285431115
"ABALON",0.633020804467468,0.595201493344826,0.699473486086426,0.908262031999989,0.620431359835911,0.421770213424005,0,0.842293936999783
"ABAT",9.70077005508432,1.22726345229906,5.78865723701695,3.2066578834219,8.35676252962073,2.27064075293278,0,0
"ABCA1",2.2148345290026,42.4503720858694,10.2235755891664,63.9023635715966,13.7769948530516,119.624346032606,112.25284017274,13.8586908172027
"ABCA10",0.138791226043818,0.529610051089539,0.238706839735837,69.7440868864584,0.77165928691936,0.379701280525713,0,1.68058753340168
"ABCA2",22.2789657662229,17.7772643585141,3.43965969262444,14.5344377319989,10.6219493679865,3.3507605706282,1.47775098122665,32.0290019081197
"ABCA3",2.6478976380273,12.5880607401173,1.62473822904804,2.24660444054031,11.2511923948207,1.06642045334326,1.00505239840679,0
"ABCA5",11.7085641475678,14.2175453553959,8.00701433926907,15.5503322840554,20.4180949000672,4.28968905808557,6.70630986799251,4.30626198946329
"ABCA6",0.257306895182562,11.8945164084597,0.83640500512096,127.942860210247,0.962254396092833,6.30253453140932,0,9.97754873739323
"ABCA7",21.9807255706512,5.48134515965998,10.3844898619485,1.7773829133014,5.87966809560403,9.90520429306771,16.9631710634012,33.1579643805708
"ABCA8",0.181426759973228,2.66689600048285,0.320948771100303,88.0733808617495,0.369948958975901,0.332070848011303,0,0
"ABCA9",0.13020580003162,0.0886043916274873,0.339490899282478,58.2064125984785,0.518963311484708,0.78851947470394,0,3.05738169048496
"ABCB1",15.2955160305591,40.155092332807,6.64573481329386,0.357929211734689,0.6541305028959,0.372890549604392,1.47775098122665,0
"ABCB10",5.93772799769323,8.14064776040285,3.7647891469961,6.17630775836734,7.61373993838038,7.28104330268676,7.15449737345904,4.19819935060887
"ABCB4",0.0561333503887033,3.1165082539852,8.61328894102774,0.933930737366815,0.060613266616743,1.86183929279044,0,0
"ABCB5",0.0196879429541065,0,0,3.55744599759215,0,0.46031354212701,0,0
"ABCB6",0.581552966220518,1.77846523695955,0.280940935050452,1.33343197526324,1.43200188003457,0.77159719177322,0,1.47201912447246
"ABCB7",29.7682855652522,25.578447380022,30.5704598920071,22.6301905194085,23.6422902222259,17.2236826205147,37.1594552161094,26.9419242679173
"ABCB8",20.3755960340937,15.3318013713285,15.3638042130076,21.5616974182514,9.98081165424647,13.462256842874,27.0508673023264,41.2990442168695
"ABCB9",2.15107623941743,6.7209867578163,3.03291888233903,3.11775244088188,9.78486687806957,1.64651407795374,0.306776979578163,0
"ABCC1",22.2370864522228,16.1107687013858,11.7727408383957,10.6097440198519,10.3148697061409,14.2842481407102,78.3118210445781,9.66871975545961
"ABCC10",17.7468851033967,12.4432989156442,7.86219889907708,9.31199145179344,8.84386586467182,7.61740497034236,18.5814988730982,8.25733875267776
"ABCC11",0.273279992671085,0.174499770837635,0.175046339142129,0.349343002725332,2.66753958777825,0.320661195451103,0,0
"ABCC3",0.0669076210425685,10.3763071664096,0,10.0958711066662,3.69332118416535,33.3857457914734,0,0
"ABCC4",7.17911642477526,15.9741702972674,8.74047226786777,8.18295267504654,3.13443463798118,9.15531940211494,101.705646894027,4.80911552949791
"ABCC5",10.9334086654433,15.62729372316,5.06886716384715,21.6850364022761,38.8995667454882,26.9234007026162,15.2721145143068,3.07301887944702
"ABCC6",0.386465886239737,0.884232216906487,0.498923058224282,0.970254512664323,5.84435161700376,1.8386414561396,8.07429635004724,1.33867733324766
"ABCC9",0.438534108932352,5.47775039945928,0,61.8569080847133,0.265329684566134,0.450702787497964,0,0
"ABCD1",5.39564750003032,12.2135248066978,4.60792515584702,4.83935828160486,9.64923661074183,19.8021439302311,8.94262765204777,15.2461052905311
"ABCD2",10.5796073716297,0.236863555376101,1.85836423727236,1.32298285368419,0.745481887834031,0.515418829201954,2.04259630330921,6.79018583527407
"ABCD3",14.3506394767136,30.1050172625655,9.92337176980217,20.8113549728643,37.2495882914936,12.0756227668736,47.1414017493347,9.32096870862892
"ABCD4",23.6856739343692,81.0174545513416,16.9376315240606,26.2912789563456,14.4103363032273,17.2759720212708,14.0448439268421,26.7092463094487
"ABCE1",38.5663481406878,51.9471540540435,35.9034187375383,34.6310459433176,34.791633362466,42.7265060765236,26.1855342429403,99.1348400178623
"ABCF1",56.3192141135055,51.7464232190646,39.409610845879,39.7721107021618,65.128497195876,37.5974004554801,26.2448657921437,65.2242216745129
"ABCF2",24.9708842838585,28.8434616002061,15.9914031471582,20.2067636365044,22.0790394588232,14.5256896757918,8.73200922545168,26.8398211430706
"ABCF3",21.2988481769109,26.0655247643185,17.1252727733833,19.1348974960097,20.7774177997227,15.6079266473617,10.8185173395533,8.89989689811117
"ABCG1",37.5118676783201,84.7435152700366,22.4091153500048,7.6176067200439,16.7084759331079,33.3947232261906,14.0960162264871,17.5818442905575
"ABCG2",0.498245471804288,32.6042898668024,0.0930949692502662,1.69864318193858,5.14116161561328,6.7709210662817,0,2.62008504796066
"ABHD1",0.669021947890521,0.351262508470455,0.0615138484281551,0.371512264575257,3.73589288584254,0.0990991978074348,0,0
"ABHD10",14.9888508206898,12.3334660785788,15.9859914587632,9.99594880343634,12.9621293478818,12.0401078864206,24.4681053818803,15.6202612270846
"ABHD11",10.2712848437597,11.3998063963562,5.73554230885161,10.9293840687575,35.2862404701253,14.3664621714993,25.1178745095065,2.74884192887082
"ABHD12",30.5161162180645,30.9001547623998,23.6986395966334,27.8447830290421,32.3998835846637,100.57051579724,24.7899811657223,32.7337855944387
"ABHD13",33.9375775895882,20.473085427873,20.4719858899258,24.09154815237,13.2426530983096,19.2137971972421,7.69448338118724,25.3758665705837
"ABHD14A",4.59220930503321,7.00601957239976,3.61051928661277,6.82134821777936,1.93184191484479,2.64015259489059,2.67007527435719,6.4890777634846
"ABHD14A-ACY1",0.470523403174665,0.37724672822231,0,0.595891295641974,1.09415971098319,0.0493844041259393,1.88677465306931,0
"ABHD14B",105.878528806126,58.2584277669436,94.1120641334903,76.3994158603028,105.99497850038,38.4925865290299,95.1994258821679,72.7234606972445
"ABHD15",11.4297027122451,4.92184484877248,7.35153849643298,3.74987819623698,2.63209452332557,7.47950862978942,2.7283932535784,117.096266860328
"ABHD16A",25.5377313612771,16.5682952987887,19.1458097598549,22.4207530967958,27.0708207723313,19.4262198730744,20.9356503725704,16.6348208231447
"ABHD17A",52.3564289702887,77.4399299290886,26.3814921324308,23.399437448655,24.2587893419534,23.2020007413714,7.72709558356023,33.9191666737996
"ABHD17B",6.45240947080482,9.29581586588074,2.88002288427373,5.12070192974115,3.37245239304995,3.70408018109778,10.3394196032407,11.13032076952
"ABHD17C",2.50811468761646,4.7333128991444,0.478246232760999,2.18605251890188,9.48528274186776,1.92428755373411,0,2.48400501165023
"ABHD18",30.0641978536339,17.3372412467086,16.7986153386176,16.627631467267,15.5980639545321,9.02870258066903,20.9423107079294,30.5429078100101
"ABHD2",32.4850633504307,41.3361555973558,13.2655202659244,47.3748832500988,51.6144067493929,65.1425350797704,123.507005403688,41.6499656434768
"ABHD3",35.186961320386,9.23205353279153,21.4638288672686,11.2883597476685,11.914693714625,19.5546700883903,18.80503004732,12.6639572309362
"ABHD4",6.5156819674751,15.0671651844083,4.78131125511809,13.5881552370591,7.95474578939881,6.80334349258829,2.43193158457568,4.10304942791042
"ABHD5",21.6807792152065,32.2779976107242,17.0292598095039,26.5111626453111,25.4538676230527,46.0017008826501,14.147698239631,11.4366971116319
"ABHD6",7.27155519149983,21.3443118360564,5.11407986272123,4.11915310748074,1.9267843693665,8.86984046304967,25.2960107712844,31.3495093682864
"ABHD8",8.11968743294143,4.57788443301905,8.45231259129864,10.0617190976401,14.8822542164591,18.7756310122909,14.008044108043,8.67253093432152
"ABI1",90.4468705918039,54.4106189736759,79.4868950246338,41.1628548293983,49.8171701975459,74.5191723992187,61.4725175627039,86.4590540795717
"ABI2",24.2850864723145,47.5102162695964,12.3020227437195,80.5164684236126,58.6381854281069,17.6686687734802,22.3100413916449,56.8628862182075
"ABI3",79.2212164717711,66.9673470410843,35.4389150502898,1.56860480379742,1.69788016031054,74.2112021151735,2.69201467686402,1.84974268561389
"ABI3BP",0.57528088868626,7.81121479737826,0.27129765371515,152.75539365963,3.03298192315923,1.00054224795395,6.81667905030027,0
"ABL1",7.26911627052006,27.4730241255399,2.77900064599501,47.1654949434895,8.92434159845314,9.38076158305242,4.95432249110456,15.2254533368865
"ABL2",8.41332361743555,90.1816885386129,7.38195755328261,50.7088803664968,19.7511710662595,47.0903023590192,3.82769736617567,10.1430663784937
"ABLIM1",65.7397271753076,165.005811517402,45.3348633168213,53.507786555153,28.8090520088229,2.94224193914917,0.613553959156326,1.52453916305465
"ABLIM2",1.57079685816754,17.2984960808155,0.519572582167297,3.21833016256525,1.1168610529894,0.258846036080955,0,0
"ABLIM3",0.338927382000346,114.657570820792,0,7.85126688976993,4.04989948578571,6.4243774856569,0,0
"ABO",0.223186053444869,21.6738898094227,0.140238961580976,2.06273223053959,2.94514938969367,0.0312767690046719,0.984264562440267,0
"ABR",27.2865843785989,34.8938452272655,6.5558036565972,23.9630452873803,8.32089386703019,49.1650792427294,15.8268632249028,15.095570388931
"ABRACL",265.921123695054,88.0101577403605,87.0132821020047,41.7233064244044,109.784138423321,170.017102133422,328.201669635308,261.952742234966
"ABRAXAS1",16.2312500349862,17.2914075090036,13.4210202166201,18.6378946419163,26.8117494533368,9.44884329057283,12.3740882336212,9.10195574831234
"ABRAXAS2",18.071699703472,15.0806328242604,18.2094838126789,17.0804419390427,14.9148160905398,15.7064314887461,30.7954610755825,21.1817492069409
"ABT1",60.841981897425,35.3632316005621,46.6151897576015,23.5763177046506,28.8388054197031,23.4925410358236,26.7529181817106,32.0972710663379
"ABTB1",55.7097556770864,41.4425211665363,29.0577047893798,42.9887870177778,25.062628942222,25.3330968824458,24.9309569994507,27.72328808218
"ABTB2",1.04971778769822,0.717320303048303,1.93725829544499,3.53199755875456,6.27497181146414,0.595481415231005,0,5.96079775130622
"AC000403.1",0,0.498225897480245,0,0.626645993465419,0.0153577141745864,0.293844337184399,0,0
"AC002070.1",0.0485449648492503,5.53056191394699,0,0.070239211441762,0.088969140346401,0.160839347343107,11.9546149688857,0
"AC002091.2",2.97663066032675,0.183888431211016,4.16049574186784,0.0387867841973095,0.281017900109157,2.41787964208125,13.551678106617,0
"AC002116.2",1.7287801286348,0.340453004906339,1.90580761909779,0.339278923497958,2.25064195655322,0.801426063791186,0,0
"AC002310.1",4.443169225451,3.95173043993926,6.32432919307849,1.92582740484944,13.6546832762297,1.66977275852937,0,1.55238536795513
"AC002398.2",0.0632447757375595,0.337862856599591,0,14.9891581322744,0.339247894212684,0.337030823288445,0,0
