"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"A1BG",5.52938543156648,6.76274463446111,4.92684845200579,6.00171699825787,6.9180696918063,5.37645426888713,7.06881176621026,5.74209007343257
"A1BG-AS1",2.57861048066811,2.96128636854582,2.40219035700893,3.39179166032256,0,2.60808315075138,2.8004459181884,3.22441693869232
"A2M",2.89823753054162,6.38036048123512,10.9875803545056,8.98503445868666,3.51462686675036,7.56364662853371,3.16275947203588,2.97653738569815
"A2M-AS1",0.709231394234388,1.17070146507619,1.35533433102819,1.98532273343186,4.89140660463847,1.07489618771675,0.995973769789018,2.1054569386098
"A4GALT",1.63990026928086,5.26653145351203,6.40552980507094,5.85996916574536,1.85089909069684,1.09768018080694,2.57824586107592,1.14484569212408
"AAAS",4.05846173577508,4.49925616252979,4.47478870645205,4.62052151961174,4.61266169314222,4.01105993264049,4.69268696822236,4.44261029351978
"AACS",2.5528242761723,4.41325661000418,2.87414112704842,3.47093722794173,2.63563794758514,2.34793703467173,3.69299787944349,2.91888920295439
"AADAC",0,0.0409113314656461,0.13410295740286,3.64425957372814,0,0.138286716419696,0,0
"AADACL2-AS1",0.145119366783002,0.100182021813832,0.908192096110254,5.36269526692188,0,0.0936478950214094,0,0.0621832568226728
"AADAT",0.145119366783002,1.53525150154114,0.256793898425913,2.31126273197659,0,0.138286716419696,0,0.206838089432389
"AAED1",3.41004459607301,3.33885544168479,4.93605915847261,4.62954913445263,4.26684232654599,4.92955496852568,2.99294670612866,3.64080623402666
"AAGAB",3.70749435548752,4.47333655894379,4.42985447283834,4.51405413730188,3.51462686675036,4.02301219400417,4.85019607815451,5.10835177845709
"AAK1",3.92411578365449,5.0686818527127,5.48025841522631,5.32614296293145,5.32584466578601,5.66758573848131,3.79986867157332,7.11312724661064
"AAMDC",3.08973070823157,6.09395176914269,6.08163835361878,5.77301994005532,5.12491698611387,4.24590535560013,3.69299787944349,3.85135767312184
"AAMP",5.08816317985025,6.18088682645204,6.04804994969991,6.04453249177772,5.01288106038453,5.64262535728353,5.74697351263645,5.88656994840789
"AAR2",3.29031203055054,4.15246651750339,4.76571281997947,4.39027381677012,4.05688652960843,3.77349655803044,4.45173540301547,4.43822034445025
"AARD",0.799713173198891,7.26456298922491,0.369863714587265,0.716659296691923,4.05688652960843,0.740408466122737,0.995973769789018,1.48842556735641
"AARS",4.70486356154433,6.11086255840061,5.10482793608691,5.13546091832764,4.05688652960843,4.46544586248863,3.16275947203588,4.36917931655512
"AARS2",2.76981783562164,3.21472812436355,2.81545975574914,2.894084802554,3.14106448178513,2.6928261025753,3.45210282195516,2.90623051838676
"AARSD1",2.76981783562164,3.34499429473095,2.83528660514517,2.92862928665287,0,2.40385454767827,3.16275947203588,2.80530424515762
"AASDH",3.14255045420253,4.04846810630715,3.8227692881684,3.75014408777342,2.63563794758514,3.01950213731789,3.89936585380319,3.76752344977601
"AASDHPPT",4.8913122927187,5.40126213144195,5.40597047078758,5.31125873171097,5.22887596394014,4.93747038627758,5.69253148748183,5.72236700761519
