"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"ABHD17C",-0.981,1.198,1.074,0.669,-1.257,-0.391,-0.168,-0.145
"ABHD18",-0.038,0.17,0.626,0.227,-1.925,0.368,-0.633,1.204
"ABHD2",-1.479,0.453,0.458,1.083,0.052,1.013,-1.629,0.05
"ABHD3",0.268,0.306,-0.242,-0.276,-1.487,1.023,-1.284,1.691
"ABHD4",-0.668,0.743,1.402,1.585,-1.797,0.326,-1.795,0.204
"ABHD5",-0.537,1.005,1.1,0.247,-2.002,1.197,-1.35,0.34
"ABHD6",-1.022,-0.798,1.751,-0.318,-0.681,0.708,0.318,0.042
"ABHD8",-0.19,0.511,-0.473,0.457,-0.715,1.67,-1.352,0.092
"ABI1",0.207,0.209,0.259,-0.032,-1.845,0.724,-0.349,0.827
"ABI2",-1.335,0.961,1.145,1.457,-1.58,-0.593,-0.05,-0.006
"ABI3",0.441,-2.073,3.044,-1.914,-3.168,3.247,-2.564,2.987
"ABI3BP",-1.01,-0.278,0.66,4.953,-1.141,-0.863,-1.343,-0.978
"ABL1",-1.722,0.423,1.542,2.221,-1.985,0.054,-0.287,-0.247
"ABL2",-1.247,0.387,2.956,1.769,-2.869,1.39,-1.653,-0.733
"ABLIM1",0.977,1.014,3.281,0.943,-3.361,-2.081,-2.989,2.215
"ABLIM2",-0.919,0.163,2.936,0.638,-1.096,-0.645,-0.972,-0.106
"ABLIM3",-1.518,0.862,4.222,0.578,-1.726,0.736,-1.791,-1.362
"ABO",-0.706,0.235,3.198,0.126,-0.667,-0.707,-1.036,-0.443
"ABR",-1.723,0.01,1.429,0.948,-1.515,1.752,-1.851,0.95
"ABRACL",-0.872,0.196,-0.47,-1.291,0.221,0.564,0.349,1.302
"ABRAXAS1",-0.083,0.476,1.066,1.145,-1.846,0.475,-2.17,0.937
"ABRAXAS2",-0.669,0.455,0.525,0.302,-0.939,0.617,-0.978,0.686
"ABT1",-0.049,0.345,0.602,0.085,-1.553,-0.108,-0.526,1.205
"ABTB1",-0.484,-0.33,0.908,0.916,-1.409,0.565,-1.399,1.233
"ABTB2",-0.679,0.856,-0.302,0.637,-0.769,-0.002,0.446,-0.187
"AC000403.1",-0.178,-0.159,0.329,0.408,-0.178,0.121,-0.178,-0.163
"AC002070.1",-0.454,-0.402,1.988,-0.451,0.433,-0.099,-0.522,-0.493
"AC002091.2",0.397,-0.439,-0.72,-0.746,0.283,0.594,-0.331,0.962
"AC002116.2",0.044,0.623,-0.246,-0.379,-0.171,-0.056,-0.462,0.647
"AC002310.1",-0.096,1.165,0.311,-0.106,-0.729,-0.19,-1.132,0.776
"AC002398.2",-0.289,-0.125,-0.092,1.512,-0.289,-0.176,-0.289,-0.252
"AC002467.1",-0.496,0.577,0.303,-0.174,-0.641,0.486,-0.302,0.249
"AC002480.2",0.065,-0.39,1.49,-0.186,-0.305,0.045,-0.406,-0.312
"AC003102.1",-0.474,0.722,0.4,-0.087,-0.485,0.161,-0.508,0.271
"AC003681.1",-0.179,0.071,-0.005,0.315,-0.322,0.147,-0.341,0.313
"AC004130.1",-0.129,1.643,-1.022,0.797,0.548,-0.247,-1.271,-0.319
"AC004241.1",0.34,0.259,0.102,0.292,-1.145,0.379,-0.911,0.684
"AC004466.1",-0.247,0.155,0.403,0.093,-0.229,0.009,-0.317,0.133
"AC004520.1",-0.125,-0.077,-0.051,-0.481,-0.129,0.507,0.279,0.075
"AC004540.1",-0.708,0.447,2.022,1.667,-0.583,0.132,-1.645,-1.332
"AC004585.1",0.484,-0.357,-0.555,-0.332,-0.803,-0.52,-0.908,2.991
"AC004687.1",1.547,-2.314,-2.338,-2.73,-0.546,2.028,2.308,2.045
"AC004771.3",-0.021,0.139,-0.003,0.319,-0.22,-0.099,-0.419,0.304
"AC004803.1",-0.258,1.045,-0.193,0.875,-0.813,0.064,-0.206,-0.515
"AC004812.2",-0.563,0.678,0.695,0.973,-0.748,-0.151,-1.503,0.619
"AC004816.2",-0.274,0.12,0.244,0.888,-0.272,-0.132,-0.318,-0.255
"AC004817.3",-0.795,-0.986,-0.987,-0.894,-0.818,2.536,-0.253,2.197
"AC004832.6",0.274,-0.529,-0.001,-0.609,-0.106,-0.377,-0.686,2.034
"AC004846.1",-0.788,-0.223,-0.752,0.7,-1.01,-0.002,3.102,-1.028
"AC004854.2",-0.114,-0.128,-0.306,-0.571,-0.242,1.269,-0.317,0.41
"AC004865.2",0.592,-1.197,-1.18,-0.892,0.228,0.788,-0.668,2.33
"AC004918.1",-0.472,-0.02,1.896,-0.183,-0.712,0.409,-0.824,-0.093
