"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"ARMC10",-0.974,1.2,0.474,0.7,-1.731,0.38,-0.172,0.122
"ARMC2",-0.319,0.478,-0.047,1.019,-1.865,0.671,-1.023,1.087
"ARMC5",-0.209,0.018,1.049,0.416,-1.186,-0.227,-0.086,0.225
"ARMC6",-0.576,1.046,0.512,0.513,-1.993,0.575,-0.828,0.752
"ARMC7",-0.695,0.414,1.186,0.051,-1.419,0.72,-1.329,1.07
"ARMC8",-0.02,0.252,0.423,0.18,-1.016,0.176,-0.834,0.84
"ARMC9",-1.236,1.556,0.755,2.47,-1.208,0.338,-1.674,-1.001
"ARMCX1",-1.997,1.333,1.445,2.335,-0.827,0.873,-1.252,-1.911
"ARMCX2",-0.311,1.502,1.241,2.701,-2.003,0.075,-1.99,-1.215
"ARMCX3",-0.156,0.558,0.677,1.028,-0.835,-0.164,-0.889,-0.219
"ARMCX4",-0.853,0.961,1.355,1.813,-1.417,-0.388,-1.07,-0.401
"ARMCX5",-0.279,1.07,0.731,0.766,-1.267,-0.274,-1.299,0.551
"ARMCX6",-0.409,0.553,0.552,0.126,-1.133,0.316,-0.169,0.165
"ARMH1",0.023,-1.302,-2.124,-2.196,1.972,0.02,1.794,1.813
"ARMH3",-0.232,-0.011,0.515,0.089,-1.24,1.005,-0.772,0.647
"ARMH4",-1.251,-0.513,2.499,2.549,0.05,-0.937,-1.314,-1.084
"ARMT1",-0.435,1.686,0.551,0.447,-2.281,0.973,-1.463,0.521
"ARNT",-0.981,0.444,0.67,1.256,-1.548,0.575,-0.821,0.404
"ARNT2",-0.64,1.745,-0.237,1.427,-0.753,-0.239,-0.753,-0.551
"ARNTL",-0.462,0.086,-0.325,0.332,-0.893,0.554,-1.522,2.23
"ARNTL2",-0.871,0.383,1.702,1.12,-1.175,0.521,-1.246,-0.434
"ARPC1A",-0.539,1.294,1.466,1.192,-1.893,0.373,-1.774,-0.119
"ARPC1B",-0.346,-0.773,0.644,-0.269,-1.437,1.517,-0.131,0.794
"ARPC2",-0.059,-0.703,-0.113,-0.341,-0.435,0.994,-0.197,0.855
"ARPC3",-0.138,-0.408,-0.266,-0.717,0.2,1.138,-0.14,0.331
"ARPC4",-0.614,-0.111,0.72,0.214,-2.181,1.385,0.098,0.488
"ARPC4-TTLL3",0.046,-0.037,-0.184,-0.047,-0.868,0.583,-0.53,1.036
"ARPC5",-0.501,-0.13,0.126,0.291,-0.631,1.243,-0.772,0.374
"ARPC5L",0.431,0.813,1.078,-0.299,-3.39,-0.236,0.116,1.485
"ARPIN",-1.738,0.824,1.937,1.864,-1.703,2.227,-1.833,-1.578
"ARPP19",-0.442,0.409,0.942,0.305,-1.099,0.486,-1.256,0.656
"ARRB1",-2.204,0.601,2.573,0.531,-0.664,2.018,-2.752,-0.104
"ARRB2",-0.936,-0.979,-1.198,-1.863,1.141,2.977,-1.135,1.994
"ARRDC1",-0.26,1.363,0.93,-0.929,-2.368,0.781,-0.702,1.184
"ARRDC1-AS1",0.155,0.816,0.256,0.784,-1.616,-0.122,-1.222,0.948
"ARRDC2",-0.397,-0.288,2.148,0.157,-2.167,1.555,-1.697,0.688
"ARRDC3",0.031,0.308,1.101,1.001,-2.387,1.365,-1.952,0.534
"ARRDC3-AS1",0.287,0.384,0.131,-0.156,-0.765,-0.006,-0.599,0.724
"ARRDC4",-1.534,0.746,0.123,1.969,-0.267,2.19,-1.785,-1.442
"ARRDC5",0.01,-0.412,-0.508,-0.488,-0.248,0.406,0.829,0.411
"ARSA",0.737,0.255,0.133,0.581,-1.926,0.728,-0.846,0.339
"ARSB",-0.379,-1.032,0.393,0.918,-1.654,1.692,0.598,-0.535
"ARSD",-1.599,1.566,1.232,0.212,-0.447,1.054,-1.146,-0.872
"ARSE",-0.545,0.323,0.027,1.941,-0.471,-0.31,-0.558,-0.409
"ARSG",0.048,0.954,0.165,-0.644,0.372,0.105,-2.456,1.455
"ARSI",-0.35,0.139,-0.453,2.343,-0.36,-0.458,-0.513,-0.347
"ARSJ",-0.81,1.124,-0.288,2.974,-0.855,-0.716,-0.855,-0.575
"ARSK",-0.214,0.168,0.418,1.201,-1.322,-0.31,-0.84,0.899
"ART4",-0.157,-0.11,0.592,0.306,-0.157,-0.157,-0.157,-0.157
"ART5",-0.266,0.109,0.182,1.044,-0.279,-0.252,-0.279,-0.258
"ARV1",-0.41,1.013,0.519,0.389,-1.44,0.131,-0.744,0.543
"ARVCF",-1.172,2.036,1.605,1.09,-1.31,-0.288,-1.191,-0.771
"ASAH1",-0.745,0.778,-0.075,0.318,0.524,2.178,-2.21,-0.768
"ASAH2",-0.14,0.651,0.217,0.151,-0.585,-0.49,-0.213,0.408
"ASAH2B",-0.62,0.676,0.599,0.361,-0.828,-0.682,-0.407,0.9
"ASAP1",-0.709,0.299,2.896,1.926,-2.693,1.584,-3.068,-0.236
"ASAP2",-1.767,0.729,3.066,2.191,-1.351,-0.811,-0.418,-1.639
"ASAP3",-1.447,2.016,2.266,2.98,-1.586,-1.349,-1.619,-1.261
"ASB1",0.322,0.367,-1.227,1.178,-2.039,0.502,-0.592,1.488
"ASB13",-1.135,2.025,0.858,2.082,-1.947,1.027,-2.193,-0.718
"ASB16-AS1",-0.22,0.635,0.402,0.248,-1.412,0.207,-0.888,1.028
"ASB2",0.351,-0.67,-1.23,0.427,-0.762,0.971,-1.263,2.177
"ASB3",0.07,0.671,0.321,0.253,-0.82,-0.228,-1.495,1.229
"ASB6",-0.508,0.823,0.851,0.483,-1.548,-0.056,-1.095,1.048
"ASB7",-0.128,0.475,0.667,0.355,-1.528,0.324,-1.112,0.947
"ASB8",-0.427,0.307,0.498,0.41,-1.494,0.46,-0.799,1.045
"ASB9",-0.859,0.448,3.14,-0.49,-0.935,0.247,-0.794,-0.756
"ASCC1",-0.331,0.308,0.852,0.188,-1.279,-0.169,-0.167,0.597
"ASCC2",0.102,0.407,0.922,0.355,-2.132,0.59,-1.249,1.005
"ASCC3",-0.197,0.436,0.77,0.81,-2.527,0.239,-0.496,0.965
"ASCL2",-0.774,1.033,-1.001,-0.304,-1.402,3.18,-1.641,0.909
"ASF1A",-0.475,0.601,0.634,-0.054,-1.923,0.033,-0.475,1.659
"ASF1B",-0.031,1.386,-0.411,-0.54,-1.131,1.039,-1.495,1.182
"ASGR1",-1.274,-0.515,2.253,-0.559,-1.217,3.636,-1.25,-1.072
"ASGR2",-0.499,-0.477,-0.353,-0.113,-0.502,2.742,-0.37,-0.429
"ASH1L",-0.275,0.641,0.57,0.649,-1.147,-0.368,-0.668,0.598
"ASH1L-AS1",0.052,0.983,-0.32,-0.261,-1.092,-0.145,-0.267,1.052
"ASH2L",-0.528,0.494,0.892,0.652,-1.057,0.487,-1.547,0.607
"ASIC1",-0.383,0.552,-0.236,0.95,-0.394,0.002,-0.394,-0.096
"ASIP",-0.863,-0.881,-0.729,0.795,-0.553,0.203,3.117,-1.089
"ASL",-0.895,1.305,1.712,0.214,-0.348,0.73,-3.172,0.455
"ASMTL",-0.358,0.462,0.705,0.744,-1.028,0.015,-1.097,0.557
"ASMTL-AS1",-0.337,0.567,0.083,0.21,-0.928,0.749,-0.021,-0.323
"ASNA1",-0.593,0.768,0.523,0.577,-1.85,0.736,-0.606,0.446
"ASNS",0.48,1.909,-0.596,0.915,-1.456,-0.939,-1.22,0.908
"ASNSD1",0.183,0.675,0.948,0.752,-1.956,0.163,-1.625,0.86
"ASPA",-0.452,-0.171,0.149,2.223,-0.472,-0.392,-0.472,-0.415
"ASPH",-1.505,1.937,1.919,1.86,-3.233,0.794,-0.196,-1.577
"ASPHD1",-0.776,1.495,0.081,0.793,-0.592,0.32,-0.805,-0.516
"ASPHD2",0.007,-0.498,0.201,0.097,-0.929,0.765,0.063,0.294
"ASPM",-0.569,1.096,0.236,-0.199,-1.056,0.441,-0.693,0.745
"ASPN",-1.375,-0.625,-0.098,5.882,-1.14,-0.292,-1.832,-0.52
"ASPRV1",-0.272,0.021,0.536,0.235,-0.245,-0.138,-0.179,0.042
"ASPSCR1",-0.537,0.971,0.471,0.391,-1.853,0.513,-0.53,0.574
"ASRGL1",-1.559,0.669,2.36,-1.895,1.816,1.674,-1.783,-1.282
"ASS1",-0.817,3.146,4.164,1.884,-2.72,-1.29,-2.629,-1.738
"ASTE1",0.465,-0.145,0.108,0.44,-1.219,-0.227,-0.904,1.483
"ASTN2",0.185,1.059,-0.509,1.18,-0.929,-0.539,-1.102,0.654
"ASXL1",-0.334,0.521,1.587,0.781,-2.545,0.07,-1.049,0.97
"ASXL2",-0.565,0.029,0.744,0.159,-1.574,0.206,-0.174,1.175
"ATAD1",-0.073,0.426,0.254,0.816,-2.148,-0.078,-0.247,1.05
"ATAD2",-0.065,1.695,-0.306,0.315,-1.307,0.076,-1.881,1.473
"ATAD2B",-0.3,0.078,0.48,0.013,-1.311,0.31,-0.082,0.813
"ATAD3A",-0.621,1.092,1.071,0.601,-1.786,0.7,-1.056,-0.001
"ATAD3B",-0.694,0.955,1.209,0.468,-2.115,0.249,-0.693,0.62
"ATAD3C",-0.115,1.332,1.614,-0.349,-0.367,-0.43,-1.355,-0.33
"ATAD5",-0.147,0.464,-0.127,-0.247,-1.009,0.563,-0.459,0.961
"ATAT1",-0.555,1.413,1.241,0.78,-1.264,-0.095,-1.571,0.051
"ATE1",-0.338,0.353,1.081,0.506,-1.493,0.122,-0.901,0.67
"ATF1",-0.256,0.233,0.409,0.752,-1.169,0.367,-1.491,1.155
"ATF2",-0.309,0.288,0.935,0.733,-1.928,0.257,-0.772,0.797
"ATF3",-1.279,1.261,-0.401,0.842,-1.977,2.798,-0.279,-0.965
"ATF4",0.253,0.476,0.699,0.671,-1.728,0.138,-0.385,-0.124
"ATF5",0.234,0.522,-0.271,-0.133,-2.743,2.259,1.102,-0.968
"ATF6",-0.515,0.502,1.116,0.28,-1.502,0.891,-1.097,0.325
"ATF6B",-0.028,0.434,1.183,0.395,-1.957,0.29,-1.211,0.894
"ATF7",-0.543,0.792,1.549,1.217,-2.113,0.408,-1.476,0.165
"ATF7IP",0.216,0.07,0.484,0.166,-1.229,-0.019,-0.814,1.126
"ATF7IP2",1.556,0.023,0.214,-0.84,-2.536,0.497,-0.764,1.85
"ATG10",-0.219,0.64,0.439,0.594,-1.378,0.291,-0.843,0.477
"ATG101",0.023,0.674,0.016,0.104,-2.358,0.001,1.476,0.065
"ATG12",0.006,0.02,0.347,0.411,-1.081,0.098,-0.671,0.869
"ATG13",-0.5,0.539,0.401,0.918,-1.798,0.236,-0.377,0.581
"ATG14",-0.798,0.445,0.768,0.733,-0.71,0.271,-1.297,0.589
"ATG16L1",-0.382,0.972,0.689,0.372,-2.279,0.015,-0.88,1.493
"ATG16L2",0.351,-0.331,0.744,-0.252,-0.878,1.313,-1.551,0.604
"ATG2A",-0.623,0.392,0.774,0.426,-2.204,0.416,-0.393,1.212
"ATG2B",-0.673,0.359,1.27,1.007,-1.154,-0.139,-1.219,0.549
"ATG3",-0.43,0.305,0.477,0.019,-1.178,1.5,-1.021,0.328
"ATG4A",-0.056,0.22,1.661,-0.095,-1.693,0.151,-0.925,0.737
"ATG4B",-0.591,0.727,0.968,0.3,-2.193,0.402,-0.452,0.839
"ATG4C",0.546,-0.449,0.385,-0.007,-1.075,1.009,-0.156,-0.252
"ATG4D",0.216,0.648,-0.298,-0.063,-1.882,0.053,-0.046,1.372
"ATG5",0.105,0.629,0.431,0.263,-1.492,0.4,-1.428,1.092
"ATG7",-0.648,0.181,0.819,0.833,-1.669,1.613,-1.651,0.523
"ATG9A",-0.578,0.674,1.426,0.922,-1.989,0.061,-1.431,0.916
"ATG9B",-0.056,0.524,-0.895,-0.488,1.239,-0.663,-0.742,1.082
"ATIC",-0.115,1.652,-1.739,0.313,-0.501,0.526,-1.187,1.051
"ATL1",-0.655,1.292,0.124,2.235,-0.731,-0.851,-0.7,-0.715
"ATL2",-0.449,1.925,0.82,0.511,-2.165,0.208,-1.027,0.176
"ATL3",-1.566,0.592,1.619,1.446,-1.935,0.633,-1.014,0.224
"ATM",0.908,-0.386,-0.059,0.366,-2.488,0.644,-0.66,1.675
"ATMIN",-0.997,0.78,1.388,1.075,-1.739,0.454,-1.489,0.529
"ATN1",-1.747,1.688,2.632,2.107,-2.092,-0.03,-1.927,-0.631
"ATOH8",-1.093,-0.602,3.809,0.995,-1.133,-0.021,-0.906,-1.048
"ATOX1",-0.868,1.023,1.18,0.644,-1.765,1.458,-0.822,-0.85
"ATP10A",-1.35,-0.165,-1.113,2.163,-0.761,0.187,-0.112,1.152
"ATP10D",0.012,-0.814,1.225,1.319,-1.978,0.601,-1.293,0.928
"ATP11A",-0.67,-0.337,2.783,0.495,-2.138,1.473,-1.488,-0.118
"ATP11B",-0.047,-0.291,0.464,0.339,-1.268,-0.054,-0.17,1.028
"ATP11C",-0.799,-0.054,2.459,0.978,-1.718,0.243,-1.175,0.066
"ATP13A1",-0.031,0.234,0.545,0.029,-2.349,0.594,0.554,0.424
"ATP13A2",-1.767,0.405,1.957,-0.41,-2.308,0.344,1.743,0.036
"ATP13A3",-1.209,0.293,1.8,1.103,-2.378,1.502,-1.326,0.215
"ATP13A4",0.047,1.082,-0.363,-0.354,-0.321,-0.12,-0.545,0.573
"ATP13A5",-0.244,1.609,-0.255,-0.226,-0.287,-0.114,-0.287,-0.196
"ATP1A1",-0.864,1.164,1.64,0.484,-2.321,0.739,-1.647,0.805
"ATP1A2",-0.428,0.386,-0.171,1.752,-0.428,-0.335,-0.428,-0.348
"ATP1A3",0.218,-0.099,-0.378,-0.237,-0.399,-0.215,-0.334,1.445
"ATP1A4",-0.581,1.071,-0.538,-0.408,1.105,-0.109,-0.66,0.119
"ATP1B1",-1.008,3.061,-1.005,0.448,-0.743,1.821,-3.305,0.731
"ATP1B2",-0.693,-0.08,0.198,3.573,-0.859,-0.675,-0.859,-0.606
"ATP1B3",-1.001,0.193,2.009,0.141,-1.992,1.413,-0.948,0.186
"ATP23",-0.277,0.451,0.602,-0.004,-1.195,0.293,-0.474,0.603
"ATP2A1",-0.014,0.156,0.002,0.041,-0.203,-0.129,-0.143,0.29
"ATP2A1-AS1",-0.23,1.234,-0.026,0.008,-0.583,-0.239,-0.882,0.718
"ATP2A2",-1.249,0.508,1.562,1.489,-2.047,0.904,-0.953,-0.214
"ATP2A3",1.613,-0.896,-0.303,-2.429,-0.343,-1.367,1.848,1.876
"ATP2B1",1.051,0.15,1.034,0.446,-2.944,1.364,-2.066,0.965
"ATP2B1-AS1",1.136,-0.87,-0.132,-0.532,-1.669,2.715,-1.853,1.204
"ATP2B4",-1.892,-0.399,2.042,1.415,-2.64,-0.518,0.495,1.496
"ATP2C1",-0.801,1.123,1.04,0.596,-2.064,0.828,-0.783,0.062
"ATP2C2",-0.27,2.564,-0.324,-0.209,-0.514,-0.341,-0.514,-0.39
"ATP5F1A",-0.264,0.678,0.298,0.139,-1.523,0.275,0.101,0.296
"ATP5F1B",-0.275,0.699,0.579,0.272,-1.885,0.572,-0.267,0.305
"ATP5F1C",-0.946,0.719,0.303,0.103,-0.008,0.383,-0.588,0.034
"ATP5F1D",-0.057,0.279,0.187,0.29,-0.391,0.229,-0.853,0.315
"ATP5F1E",-0.421,0.017,0.136,-0.324,-0.487,0.722,-0.071,0.428
"ATP5IF1",-0.023,0.686,0.435,0.03,-0.559,0.014,-1.213,0.631
"ATP5MC1",-0.156,0.76,0.098,0.269,-0.401,0.043,-0.456,-0.157
"ATP5MC2",-0.261,0.436,-0.113,-0.2,0.194,0.296,-0.585,0.233
"ATP5MC3",-0.56,0.701,-0.207,0.185,-0.488,0.603,-0.304,0.07
"ATP5MD",-0.707,0.597,0.248,0.189,-0.777,0.547,-0.389,0.292
"ATP5ME",-0.269,0.571,0.347,0.33,-0.658,0.528,-1.115,0.267
"ATP5MF",-0.511,0.864,0.014,0.078,-1.149,0.771,-0.379,0.312
"ATP5MG",-0.028,0.22,-0.274,-0.049,-1.122,0.526,0.09,0.637
"ATP5MPL",-0.356,0.871,0.112,0.271,-1.462,0.577,-0.442,0.428
"ATP5PB",-0.153,0.533,0.184,0.006,-0.964,0.538,-0.565,0.42
"ATP5PD",-0.663,0.535,0.122,0.221,-0.125,0.582,-0.747,0.076
"ATP5PF",-0.714,0.652,0.802,0.262,-0.749,0.339,-0.711,0.119
"ATP5PO",-0.263,0.675,0.512,0.503,-1.429,0.777,-1.197,0.423
"ATP5S",-0.199,0.82,0.252,0.097,-1.647,0.254,-0.06,0.482
"ATP6AP1",-0.759,0.626,0.618,0.058,-0.922,1.285,-0.76,-0.146
"ATP6AP1L",-0.317,0.478,-0.008,2.098,-1.022,-0.223,-0.604,-0.401
"ATP6AP2",-0.896,0.487,0.531,0.983,-1.794,1.534,-1.1,0.254
"ATP6V0A1",-0.421,0.554,0.962,0.763,-0.993,1.739,-0.929,-1.675
"ATP6V0A2",-0.888,-0.654,0.148,-0.11,1.751,-0.379,-0.202,0.333
"ATP6V0B",-0.522,0.47,-0.179,-0.53,-0.393,1.437,0.209,-0.491
"ATP6V0C",-0.775,0.201,-0.611,-0.155,-0.177,1.458,0.076,-0.017
"ATP6V0D1",-0.455,0.129,0.134,0.072,-0.865,1.618,-0.526,-0.107
"ATP6V0E1",-0.481,-0.19,0.027,0.167,0.003,0.619,-0.36,0.214
"ATP6V0E2",-0.341,2.171,-1.172,-0.237,-1.503,0.418,-2.153,2.817
"ATP6V0E2-AS1",-0.536,0.572,-0.315,0.519,-0.45,-0.371,-0.559,1.14
"ATP6V1A",-0.942,0.544,0.629,0.392,-1.774,1.546,-0.119,-0.277
"ATP6V1B1",-0.622,2.2,0.999,-0.148,-0.771,-0.358,-0.771,-0.53
"ATP6V1B2",-1.429,-0.16,-0.237,0.682,-1.728,2.808,-0.082,0.146
"ATP6V1C1",-0.711,1.088,0.754,0.328,-2.113,1.492,-0.843,0.005
"ATP6V1C2",-0.315,0.894,1.644,-0.418,-0.441,-0.364,-0.656,-0.344
"ATP6V1D",-0.788,0.883,0.236,0.727,-2.053,1.108,-0.522,0.41
"ATP6V1E1",-0.718,0.326,0.523,0.478,-1.344,0.671,-0.247,0.311
"ATP6V1E2",0.314,1.051,-0.678,0.488,-1.355,0.209,-0.708,0.679
"ATP6V1F",-0.971,0.306,-0.134,-0.272,0.839,1.653,-1.307,-0.114
"ATP6V1G1",-0.145,0.575,-0.224,-0.066,-0.489,0.312,-0.166,0.203
"ATP6V1G2",-0.04,0.274,-0.375,1.037,-0.612,-0.403,-0.494,0.613
"ATP6V1H",-1.179,1.093,0.448,0.201,-1.564,0.794,-0.409,0.614
"ATP7A",-0.638,0.504,1.08,0.656,-1.24,0.44,-1.428,0.628
"ATP7B",-0.603,1.228,1.819,0.425,-0.816,-0.605,-0.816,-0.632
"ATP8A1",0.805,-1.061,1.313,-2.011,-2.327,-0.376,1.192,2.465
"ATP8A2",-0.676,0.571,1.724,-0.217,-0.489,-0.718,-0.804,0.609
"ATP8B1",-0.841,1.761,3.367,1.264,-1.853,-0.882,-1.693,-1.123
"ATP8B2",-0.433,-0.685,1.615,1.679,-1.296,-1.818,-0.855,1.793
"ATP8B3",-0.798,-0.012,0.222,0.369,-0.579,0.696,-0.794,0.896
"ATP8B4",-1.123,-1.062,-1.464,0.218,1.517,2.851,-1.764,0.827
"ATP9A",-1.181,2.332,0.819,2.089,-1.499,-1.142,-1.801,0.383
"ATP9B",-0.292,0.191,0.762,0.436,-1.49,0.496,-1.014,0.91
"ATPAF1",-0.504,1.098,0.246,0.529,-0.717,0.203,-1.714,0.86
"ATPAF2",0.02,0.396,-0.12,-0.412,-1.711,1.033,0.923,-0.129
"ATR",0.078,0.596,0.618,0.216,-1.504,0.116,-0.891,0.77
"ATRAID",-0.139,0.523,0.429,0.74,-1.157,0.068,-0.495,0.03
"ATRIP",0.016,0.23,0.372,0.222,-0.764,-0.055,-0.765,0.744
"ATRN",-0.835,0.94,1.392,1.316,-1.795,0.906,-1.698,-0.227
"ATRX",-0.328,0.176,0.869,0.326,-1.202,-0.184,-0.235,0.578
"ATXN1",-0.55,0.116,0.433,1.529,-0.058,0.778,-3.466,1.217
"ATXN10",-0.389,0.644,0.328,0.356,-0.599,-0.019,-0.708,0.388
"ATXN1L",-0.481,0.518,1.457,0.89,-1.85,0.347,-1.3,0.42
"ATXN2",-0.963,0.677,1.234,1.116,-1.324,0.29,-1.274,0.244
"ATXN2L",-0.107,0.402,0.697,0.254,-2.318,0.406,-0.102,0.767
"ATXN3",-0.518,0.347,1.74,0.831,-2.017,0.284,-0.965,0.298
"ATXN7",-0.779,-0.316,0.15,0.059,-1.341,0.145,-0.224,2.304
"ATXN7L1",-0.302,0.266,0.574,0.164,-2.092,0.504,-0.728,1.615
"ATXN7L2",-0.221,0.518,0.179,0.909,-0.929,-0.184,-0.987,0.715
"ATXN7L3",-1.062,0.575,1.356,0.601,-1.967,0.805,-0.85,0.543
"ATXN7L3B",-0.58,1.058,0.79,0.745,-1.374,-0.1,-1.216,0.677
"AUH",-0.243,0.84,0.555,0.438,-0.849,-0.128,-1.439,0.826
"AUP1",0.182,0.349,0.492,0.147,-1.365,0.369,-0.686,0.512
"AURKA",-0.418,1.189,-0.123,-0.52,-0.534,0.99,-0.784,0.201
"AURKAIP1",-0.39,1.076,0.435,0.289,-1.243,0.533,-1.113,0.412
"AURKB",-0.182,1.059,0.09,-0.274,-0.58,0.67,-1.17,0.387
"AURKC",-0.189,-0.147,0.19,0.636,-0.522,0.638,-0.338,-0.268
"AUTS2",-0.216,1.734,-0.16,1.488,-2.894,-1.135,-0.015,1.198
"AVEN",-0.792,-0.097,0.775,1.016,-1.395,-0.087,1.027,-0.447
"AVIL",-0.898,0.648,1.089,1.665,-1.219,0.108,-0.902,-0.492
"AVL9",-0.285,0.934,0.476,0.109,-1.653,0.335,-0.565,0.649
"AVPI1",-1.032,0.842,-0.028,0.995,-1.213,2.074,-1.692,0.054
"AVPR1A",-0.746,-0.598,0.434,3.522,-0.748,-0.534,-0.748,-0.583
"AVPR2",-0.655,-0.636,4.346,-0.604,-0.693,-0.503,-0.693,-0.562
"AXIN1",-0.857,0.891,0.651,0.739,-1.846,0.567,-1.105,0.959
"AXIN2",-0.754,0.426,0.517,2.226,-0.765,-0.779,-0.941,0.07
"AXL",-1.55,-0.716,-1.014,4.02,-1.96,3.414,-0.691,-1.504
"AZGP1",-0.153,5.535,-0.406,-0.49,-1.88,-0.534,-2.023,-0.048
"AZI2",-0.534,0.422,0.634,1.479,-2.51,0.96,-0.984,0.533
"AZIN1",-0.432,0.973,0.327,0.057,-0.275,0.409,-1.134,0.073
"AZIN1-AS1",0.073,1.566,-0.097,0.538,-1.126,-0.473,-0.659,0.177
"AZIN2",-1.869,0.193,-0.392,1.648,-2.02,0.06,2.341,0.039
"B2M",0.285,-1.585,0.547,-0.178,-0.224,0.556,-0.651,1.25
"B3GALNT1",-1.196,1.42,1.334,2.247,-1.321,0.68,-1.808,-1.356
"B3GALNT2",-0.609,1.227,0.542,0.692,-1.322,-0.009,-0.35,-0.171
"B3GALT2",-0.222,-0.01,0.119,-0.064,0.029,-0.188,-0.257,0.593
"B3GALT4",-0.279,-0.33,0.41,0.115,-0.332,0.421,-1.026,1.022
"B3GALT5",-0.272,1.172,-0.056,0.043,-0.283,-0.203,-0.283,-0.117
"B3GALT6",-1.085,0.373,1.536,1.001,-1.409,0.663,-0.96,-0.119
"B3GAT2",-0.222,0.029,-0.068,0.067,-0.269,-0.06,-0.193,0.715
"B3GAT3",0.013,0.676,0.582,0.785,-1.977,0.258,-1.225,0.888
"B3GLCT",-0.157,0.213,1.203,1.308,-1.646,-0.116,-1.675,0.869
"B3GNT2",-1.099,0.422,1.252,1.192,-3.176,0.623,-0.406,1.192
"B3GNT3",-0.434,1.149,1.514,-0.476,-0.544,-0.353,-0.544,-0.313
"B3GNT4",-0.205,0.702,-0.2,0.074,-0.235,-0.202,-0.216,0.282
"B3GNT5",-1.859,-0.109,1.997,-0.517,-0.274,3.001,-1.087,-1.151
"B3GNT7",-0.222,0.28,-0.31,-0.359,-0.816,1.687,-0.744,0.484
"B3GNT8",-1.262,0.5,-0.369,1.233,0.265,1.325,-1.34,-0.352
"B3GNT9",-0.711,0.506,0.468,2.946,-1.403,-0.767,-0.845,-0.194
"B3GNTL1",-0.763,0.48,0.012,0.101,-0.593,0.887,-1.374,1.25
"B4GALNT1",-0.449,0.413,-0.344,2.251,-0.571,-0.313,-0.571,-0.418
"B4GALNT2",-0.109,0.621,-0.062,-0.052,-0.09,-0.077,-0.123,-0.108
"B4GALNT3",-0.425,1.626,-0.345,-0.065,-0.584,0.029,-0.703,0.467
"B4GALNT4",-0.43,2.695,-0.411,0.052,-0.631,-0.407,-0.644,-0.224
"B4GALT1",-0.189,0.007,-0.133,0.555,-1.887,0.361,0.952,0.333
"B4GALT1-AS1",-0.268,0.656,0.189,0.676,-0.684,0.097,-0.598,-0.068
"B4GALT2",-0.925,1.527,1.714,2.59,-1.68,-0.472,-1.643,-1.113
"B4GALT3",0.228,1.183,0.477,0.11,-2.131,-0.334,-0.53,0.997
"B4GALT4",0.07,0.828,-0.774,1.161,-1.602,0.148,-0.595,0.764
"B4GALT5",-1.934,0.403,1.934,1.402,-1.29,0.985,-1.511,0.011
"B4GALT6",-0.606,0.058,1.234,0.772,-0.651,-0.284,-0.285,-0.238
"B4GALT7",0.498,0.686,0.78,0.889,-2.289,0.566,-1.221,0.091
"B4GAT1",-0.596,0.728,1.963,1.821,-1.993,-0.336,-1.462,-0.126
"B9D1",0.747,2.326,0.35,1.825,-1.563,-0.669,-2.085,-0.931
"B9D2",-0.901,0.288,0.95,0.2,-1.003,0.375,-0.503,0.595
"BAALC",-0.989,-0.185,2.657,1.855,-1.283,-0.196,-1.247,-0.613
"BAALC-AS1",-0.473,0.782,1.112,0.73,-0.507,-0.532,-0.58,-0.532
"BABAM1",-0.146,0.583,0.651,0.567,-1.485,0.602,-1.454,0.682
"BABAM2",-0.664,0.653,0.506,0.835,-0.544,0.502,-1.975,0.688
"BACE1",-1.703,0.465,2.12,3.151,-1.707,0.724,-1.894,-1.155
"BACE1-AS",-0.419,0.151,0.664,0.433,-0.36,0.088,-0.559,0.002
"BACE2",0.009,1.247,3.011,1.565,3.183,-2.481,-3.656,-2.877
"BACH1",-0.122,-0.026,0.384,1.034,-0.389,1.575,-2.389,-0.068
"BACH2",2.351,-0.336,-0.639,1.35,-1.989,-1.111,-1.538,1.913
"BAD",-0.999,1.074,1.047,1.224,-1.209,0.002,-1.401,0.263
"BAG1",-0.389,0.66,0.375,-0.078,-1.506,0.447,0.642,-0.152
"BAG2",0.002,0.405,-1.004,2.947,-1.412,-0.019,-1.824,0.906
"BAG3",-1.817,1.623,2.922,2.13,-2.94,0.419,-2.865,0.528
"BAG4",-0.449,0.568,0.264,0.582,-0.706,0.527,-1.211,0.425
"BAG5",-0.339,0.883,1.25,0.376,-1.67,0.342,-1.544,0.702
"BAG6",-0.269,0.672,0.878,0.422,-1.753,0.491,-0.836,0.394
"BAHCC1",-1.673,0.595,2.261,2.081,-1.936,-0.355,0.782,-1.755
"BAHD1",-0.795,0.606,1.61,0.591,-1.92,0.449,-1.084,0.543
"BAIAP2",-2.568,1.76,1.532,0.371,-2.371,1.136,1.434,-1.294
"BAIAP2-DT",-1.556,0.795,1.617,0.323,-1.508,1.035,0.451,-1.158
"BAIAP2L1",-1.221,3.032,2.269,0.395,-1.443,-1.164,-1.007,-0.861
"BAIAP2L2",-0.199,0.667,-0.08,0.599,-0.493,-0.312,-0.231,0.05
"BAIAP3",0.875,0.855,0.247,0.09,-0.92,-0.807,-0.92,0.58
